title,location,client,risk
Extract corpo asset before lockdown,Corpo Plaza,Militech,HIGH
Extract corpo asset before lockdown,Corpo Plaza,NetWatch,HIGH
Extract corpo asset before lockdown,Corpo Plaza,Afterlife,HIGH
Extract corpo asset before lockdown,Corpo Plaza,Biotechnica,HIGH
Extract corpo asset before lockdown,Corpo Plaza,Arasaka,EXTREME
Extract corpo asset before lockdown,Corpo Plaza,Kang Tao,HIGH
Extract corpo asset before lockdown,Corpo Plaza,NCPD,HIGH
Extract corpo asset before lockdown,Corpo Plaza,Aldecaldos,HIGH
Extract corpo asset before lockdown,Corpo Plaza,Anonymous,HIGH
Extract corpo asset before lockdown,Corpo Plaza,Voodoo Boys,EXTREME
Extract corpo asset before lockdown,Watson,Militech,HIGH
Extract corpo asset before lockdown,Watson,NetWatch,MEDIUM
Extract corpo asset before lockdown,Watson,Afterlife,HIGH
Extract corpo asset before lockdown,Watson,Biotechnica,MEDIUM
Extract corpo asset before lockdown,Watson,Arasaka,HIGH
Extract corpo asset before lockdown,Watson,Kang Tao,HIGH
Extract corpo asset before lockdown,Watson,NCPD,MEDIUM
Extract corpo asset before lockdown,Watson,Aldecaldos,MEDIUM
Extract corpo asset before lockdown,Watson,Anonymous,HIGH
Extract corpo asset before lockdown,Watson,Voodoo Boys,HIGH
Extract corpo asset before lockdown,Santo Domingo,Militech,HIGH
Extract corpo asset before lockdown,Santo Domingo,NetWatch,MEDIUM
Extract corpo asset before lockdown,Santo Domingo,Afterlife,HIGH
Extract corpo asset before lockdown,Santo Domingo,Biotechnica,MEDIUM
Extract corpo asset before lockdown,Santo Domingo,Arasaka,HIGH
Extract corpo asset before lockdown,Santo Domingo,Kang Tao,HIGH
Extract corpo asset before lockdown,Santo Domingo,NCPD,MEDIUM
Extract corpo asset before lockdown,Santo Domingo,Aldecaldos,MEDIUM
Extract corpo asset before lockdown,Santo Domingo,Anonymous,HIGH
Extract corpo asset before lockdown,Santo Domingo,Voodoo Boys,HIGH
Extract corpo asset before lockdown,Northside,Militech,HIGH
Extract corpo asset before lockdown,Northside,NetWatch,HIGH
Extract corpo asset before lockdown,Northside,Afterlife,HIGH
Extract corpo asset before lockdown,Northside,Biotechnica,HIGH
Extract corpo asset before lockdown,Northside,Arasaka,EXTREME
Extract corpo asset before lockdown,Northside,Kang Tao,HIGH
Extract corpo asset before lockdown,Northside,NCPD,HIGH
Extract corpo asset before lockdown,Northside,Aldecaldos,HIGH
Extract corpo asset before lockdown,Northside,Anonymous,HIGH
Extract corpo asset before lockdown,Northside,Voodoo Boys,EXTREME
Extract corpo asset before lockdown,City Center,Militech,HIGH
Extract corpo asset before lockdown,City Center,NetWatch,HIGH
Extract corpo asset before lockdown,City Center,Afterlife,HIGH
Extract corpo asset before lockdown,City Center,Biotechnica,HIGH
Extract corpo asset before lockdown,City Center,Arasaka,EXTREME
Extract corpo asset before lockdown,City Center,Kang Tao,HIGH
Extract corpo asset before lockdown,City Center,NCPD,HIGH
Extract corpo asset before lockdown,City Center,Aldecaldos,HIGH
Extract corpo asset before lockdown,City Center,Anonymous,HIGH
Extract corpo asset before lockdown,City Center,Voodoo Boys,EXTREME
Extract corpo asset before lockdown,Westbrook,Militech,HIGH
Extract corpo asset before lockdown,Westbrook,NetWatch,MEDIUM
Extract corpo asset before lockdown,Westbrook,Afterlife,HIGH
Extract corpo asset before lockdown,Westbrook,Biotechnica,MEDIUM
Extract corpo asset before lockdown,Westbrook,Arasaka,HIGH
Extract corpo asset before lockdown,Westbrook,Kang Tao,HIGH
Extract corpo asset before lockdown,Westbrook,NCPD,MEDIUM
Extract corpo asset before lockdown,Westbrook,Aldecaldos,MEDIUM
Extract corpo asset before lockdown,Westbrook,Anonymous,HIGH
Extract corpo asset before lockdown,Westbrook,Voodoo Boys,HIGH
Extract corpo asset before lockdown,Pacifica,Militech,EXTREME
Extract corpo asset before lockdown,Pacifica,NetWatch,HIGH
Extract corpo asset before lockdown,Pacifica,Afterlife,EXTREME
Extract corpo asset before lockdown,Pacifica,Biotechnica,HIGH
Extract corpo asset before lockdown,Pacifica,Arasaka,EXTREME
Extract corpo asset before lockdown,Pacifica,Kang Tao,EXTREME
Extract corpo asset before lockdown,Pacifica,NCPD,HIGH
Extract corpo asset before lockdown,Pacifica,Aldecaldos,HIGH
Extract corpo asset before lockdown,Pacifica,Anonymous,EXTREME
Extract corpo asset before lockdown,Pacifica,Voodoo Boys,EXTREME
Extract corpo asset before lockdown,Badlands,Militech,EXTREME
Extract corpo asset before lockdown,Badlands,NetWatch,HIGH
Extract corpo asset before lockdown,Badlands,Afterlife,EXTREME
Extract corpo asset before lockdown,Badlands,Biotechnica,HIGH
Extract corpo asset before lockdown,Badlands,Arasaka,EXTREME
Extract corpo asset before lockdown,Badlands,Kang Tao,EXTREME
Extract corpo asset before lockdown,Badlands,NCPD,HIGH
Extract corpo asset before lockdown,Badlands,Aldecaldos,HIGH
Extract corpo asset before lockdown,Badlands,Anonymous,EXTREME
Extract corpo asset before lockdown,Badlands,Voodoo Boys,EXTREME
Extract corpo asset before lockdown,Japantown,Militech,HIGH
Extract corpo asset before lockdown,Japantown,NetWatch,MEDIUM
Extract corpo asset before lockdown,Japantown,Afterlife,HIGH
Extract corpo asset before lockdown,Japantown,Biotechnica,MEDIUM
Extract corpo asset before lockdown,Japantown,Arasaka,HIGH
Extract corpo asset before lockdown,Japantown,Kang Tao,HIGH
Extract corpo asset before lockdown,Japantown,NCPD,MEDIUM
Extract corpo asset before lockdown,Japantown,Aldecaldos,MEDIUM
Extract corpo asset before lockdown,Japantown,Anonymous,HIGH
Extract corpo asset before lockdown,Japantown,Voodoo Boys,HIGH
Extract corpo asset before lockdown,Charter Hill,Militech,HIGH
Extract corpo asset before lockdown,Charter Hill,NetWatch,HIGH
Extract corpo asset before lockdown,Charter Hill,Afterlife,HIGH
Extract corpo asset before lockdown,Charter Hill,Biotechnica,HIGH
Extract corpo asset before lockdown,Charter Hill,Arasaka,EXTREME
Extract corpo asset before lockdown,Charter Hill,Kang Tao,HIGH
Extract corpo asset before lockdown,Charter Hill,NCPD,HIGH
Extract corpo asset before lockdown,Charter Hill,Aldecaldos,HIGH
Extract corpo asset before lockdown,Charter Hill,Anonymous,HIGH
Extract corpo asset before lockdown,Charter Hill,Voodoo Boys,EXTREME
Recover encrypted shard from courier,Corpo Plaza,Militech,HIGH
Recover encrypted shard from courier,Corpo Plaza,NetWatch,MEDIUM
Recover encrypted shard from courier,Corpo Plaza,Afterlife,HIGH
Recover encrypted shard from courier,Corpo Plaza,Biotechnica,MEDIUM
Recover encrypted shard from courier,Corpo Plaza,Arasaka,HIGH
Recover encrypted shard from courier,Corpo Plaza,Kang Tao,HIGH
Recover encrypted shard from courier,Corpo Plaza,NCPD,MEDIUM
Recover encrypted shard from courier,Corpo Plaza,Aldecaldos,MEDIUM
Recover encrypted shard from courier,Corpo Plaza,Anonymous,HIGH
Recover encrypted shard from courier,Corpo Plaza,Voodoo Boys,HIGH
Recover encrypted shard from courier,Watson,Militech,MEDIUM
